Date,sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
2019-6,io18s3ptzqxpt6hq9adq8zeqmtac9ue2vfhezvp8n,30,16,1,7879299071000000000000,2309036609000000000000,10000000000000000
2019-6,io1edz99s92qtm2vvt2vlagxxluk8al6j4re7885p,100,6,1,6927220000000000000,2000000000000000000,0
2019-6,io1apvqfme54evz8tg3l827xtzwuzznqc5xymuwsc,290,11,4,7552775380000000000000,7500000000000000000000,0
2019-6,io1dvfjg5xxnzpydnmq2q0n0n0ham2arytkkvrr2h,95,13,4,11230897023000000000000,3000000000000000000000,0
2019-6,io1cuua32hupytntjvedh9egqprav349rldgjk2uq,164,57,4,2593349836035000000000000,1000000000000000000000000,0
2019-6,io15jeeecf5qdfjuyjxapgcpwntz0mdy56f3prxak,24,5,1,5688368000000000000,2000000000000000000,0
2019-6,io165x6x8qpxuukhs7u3wmsxqk8ztuem9p90vye90,84,31,2,38745410000000000000,10000000000000000000,0
2019-6,io1yycphrnxfwn32c0r8er4an5zvlnv8rwheslln9,700,191,1,369257962081038173254072,96671211410000000000000,10000000000000000
2019-6,io13n2rjpd5lwf7wq3ztkhsa5rwf3ndf4y5dmc9yp,45,5,0,21266397000000000000,10000000000000000000,0
2019-6,io1tmt2vp28afp2vd3h598n0lwu6sj3lyc64apjw3,34,5,1,9098545000000000002,3000000000000000000,0
2019-6,io17zjv5f97j0d9fp6svqnvf2nf3k4a5pjay9kzp9,50,15,15,2974173740000000000000000,1352494270000000000000000,10000000000000000
2019-6,io1656vjrmeqysacm62urtn4gheq5zv4a4g8mn58g,48,9,1,314016376632000000000000,81360000000000000000000,0
2019-6,io1wufr9v6g9zq9244lhw4a3k77l7kj60jj32twh0,184,18,2,304503818000000000000,100000000000000000000,0
2019-6,io1c6a0ugwqg9p96l69fzh00xk5l4ffjrqfcv54ue,28,13,1,99248716337761000000000,33206551470000000000000,10000000000000000
2019-6,io1vulyywankgcezsnqg375atdv70t0n8vyp7n03y,146,6,1,6338330000000000000,1000000000000000000,0
2019-6,io0000000000000000000000rewardingprotocol,733,45,745,11242428438339242120569029,400000000000000000000000,0
2019-6,io107ksmju75h72hhpxcjvdt72pv8j54r2yg26pwl,85,26,4,3564898073000000000000,2000000000000000000000,0
2019-6,io1uqvz2rl0snpkncq4h9felrjr5hep6p287lnkkf,58,18,1,47007029000000000000,3000000000000000000,0
2019-6,io1mty868ljaz0wzlz95t5dcslnmhldjdhgyrccuf,36,7,2,9848896000000000000,5000000000000000000,0
2019-6,io1h42jjtrdjwjrt3k2w853nz4cyxsu0kpq88y94j,200,9,2,12741010000000000000,3000000000000000000,0
2019-6,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,15,8,0,2513000088618000000000000,1000000000000000000000000,10000000000000000
2019-6,io1xrllaja6xhl6d3jnu3mp6eltzdjq4nulqrccwt,772,387,2,3863860000000000000000,10000000000000000000,10000000000000000
2019-6,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,614,166,1,3813344322279154283128989,606973700000000000000000,10000000000000000
2019-6,io1yrn2e4aenc02xgclv9749qpdda63ppx8gsduz9,60,5,3,179593316000000000000,20000000000000000000,0
2019-6,io17dqdavle4tj7rpthx3hdswvv93g4tssadnj9ya,59,5,3,7202395367000000000000,2000000000000000000000,0
2019-6,io1tgy3lu47agclvg606vejvswthh23e7q5jz4v8n,45,11,2,28928234000000000000,4000000000000000000,0
2019-6,io1yftf6xuar26lsaher0qa73d0zc3csm884hjwvh,75,18,2,189562039792000000000000,105100000000000000000000,0
2019-6,io1ne4fjwyalrvydew52mvwaas82y0kluthsa327j,136,5,2,7720480000000000000,2000000000000000000,0
2019-6,io1vmz2hfjhpjg3e3q8sdcd969cmvxw48a8p5z07n,33,8,1,18899550000000000000,10000000000000000000,0
2019-6,io1fsrkpzrt6juvkuermz6dd2ng3a044uda6ywu8l,44,5,1,393707563843913787520001,62432997706828652126382,10000000000000000
2019-6,io1kavdx4k52eusn00z9eautr8qxgq7flad0a7jwx,78,5,2,8790540000000000010,5000000000000000000,0
2019-6,io1rpavnz36r7wp9zs4m33qrmmwkqhtpzv03hyr9t,310,120,3,267315722648000000000000,35900000000000000000000,0
2019-7,io1rpavnz36r7wp9zs4m33qrmmwkqhtpzv03hyr9t,833,14,3,320818737090000000000000,100000000000000000000000,0
2019-7,io17zjv5f97j0d9fp6svqnvf2nf3k4a5pjay9kzp9,2198,852,2439,1163629625600000000000000,242533940000000000000000,10000000000000000
2019-7,io1t47xs5wu0sr6uv4gylsef38dqr7zzfcdpa6hcw,98,49,1,5600000000000000000,1000000000000000000,10000000000000000
2019-7,io1pwuvt40ja8zc0mu7la8vk52f3yl8cucng9a9k0,12,5,1,7073050000000000000,5000000000000000000,0
2019-7,io1c49zn5wc7p972ldlwtzckwkwg3aqapnt2lvaug,56,10,3,29394211110911111000,5000000000000000000,0
2019-7,io13vzpydq6zyagwd5ka3y5t7da8xry7mufmwrd6d,100,48,1,73500000000000000000,24000000000000000000,10000000000000000
2019-7,io1c6a0ugwqg9p96l69fzh00xk5l4ffjrqfcv54ue,19,10,1,81836407049306000000000,53453000000000000000000,10000000000000000
2019-7,io1yn6q5zs7942vfwjd6dmtexjysdfpcj2n27ljar,81,5,1,533852360586000000000000,350020000000000000000000,10000000000000000
2019-7,io1vjsl3w873jty2avl4a6pxvms69qx69tl4qmlmy,18,5,1,18223317484000000000000,10048000000000000000000,10000000000000000
2019-7,io1apvqfme54evz8tg3l827xtzwuzznqc5xymuwsc,1064,5,0,93060530000000000000,50000000000000000000,0
2019-7,io19s6f55ux5kuamsyfm7gn93y55tt5yn3c8tm6kj,398,7,1,6940856940000000000000,1000000000000000000000,0
2019-7,io1eaeqwg2qd2y5e3647daah7qlmkvxupwzw2jq4w,24,6,1,3494676100000000000,1000000000000000000,0
2019-7,io1ayw5k53sh4pfetmgj887yzuhhge42fxzruga6l,6043,5,1,294518824000070000000,1895820000000000000,0
2019-7,io1xdva8lfqh08h2vwe44q0r5x7t0e84jnsef8m7e,56,7,0,289725623000000000000,250000000000000000000,0
2019-7,io1e83fv82uetwyr5krkks4e7dejwvudfk350zqdt,54,28,1,1013200000000000000000,960930000000000000000,10000000000000000
2019-7,io1h42jjtrdjwjrt3k2w853nz4cyxsu0kpq88y94j,494,7,1,28568174000000000000,2000000000000000000,0
2019-7,io107ksmju75h72hhpxcjvdt72pv8j54r2yg26pwl,10,5,0,511163295000000000000,500000000000000000000,0
2019-7,io19meaw3d9nxzazuwxppma63u4nv4nf7s3hcvqu6,97,6,1,13512814063000000000000,1000000000000000000000,0
2019-7,io1mrm4gchhdwtp4ulyd8yqus9s6tgn5nygtswjxx,111,14,1,276648255250245308444000,150000000000000000000000,10000000000000000
2019-7,io1nptp7nzkqrn0efyxk3mwruvpseu97vs9xprrxh,76,35,1,1960000000000000000,80000000000000000,10000000000000000
2019-7,io1epwfsx7f5jflka375gcctqpvnpwg72h58hszta,1376,678,2,4393920000000000000000,2000000000000000000000,10000000000000000
2019-7,io0000000000000000000000rewardingprotocol,529,44,2915,14075793930496778109442001,987502980000000000000000,0
2019-7,io13zyrqug4kq52ez8qhqewj9ehs9rr4hut3m3e6g,34,18,1,472990000000000000000,472010000000000000000,10000000000000000
2019-7,io1mnxa46jl8dfpqwjywnuh8f9dzpyh3t7d24vahj,676,336,1,2600000000000000000000,1826620000000000000000,10000000000000000
2019-7,io13m2uy4zt6p0pvg84j66j95pfyg2pwjwsm2sfcs,20,5,2,2863888000000000000,900000000000000000,0
2019-7,io1lvemm43lz6np0hzcqlpk0kpxxww623z5hs4mwu,22,6,2,12558622589789051684318,3017870878475162040924,0
2019-7,io183v7vftj3e4h76z5f5qpswhnn5737rrwjkhyds,26,6,1,504028504683000000000000,314072000000000000000000,0
2019-7,io1cuua32hupytntjvedh9egqprav349rldgjk2uq,84,11,4,660264283904000000000000,300000000000000000000000,0
2019-7,io1n0v4ssppjtavhwfcfrl94p6mpgt8ywaskejr8h,44,5,2,141140000000000001000,11120000000000001000,10000000000000000
2019-7,io16ck3m2nwjdm88jw2z5g3rg83zykxk56xe8uru5,630,289,1,2617150000000000000000,2065000000000000000000,10000000000000000
2019-7,io1q4enhh0tp5pqpa6s4urhwrx32529pmyyzdgu3q,2457,19,2,2562189888000000000000,1000000000000000000000,0
2019-7,io165x6x8qpxuukhs7u3wmsxqk8ztuem9p90vye90,86,8,0,13224417000000000000,2000000000000000000,0
2019-7,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,266,77,1,4141090149680279722948522,999999000000000000000000,10000000000000000
2019-7,io1g20juhh824jpwc2dmssc0fetfqd6zh069cnxwf,36,5,0,3870593000000000000,2000000000000000000,0
2019-7,io1av8h4g2jujrducpg0c48xy07gdk4n4l8trc3xy,250,9,3,875818390000000000000,500000000000000000000,0
2019-7,io1zupjf7gsaj9tl208eey5puqgyewg5vwx8z4lfv,8,5,1,8040000000000000000,2000000000000000000,10000000000000000
2019-7,io1mwekae7qqwlr23220k5n9z3fmjxz72tuchra3m,183,7,1,138508563000000000000,100000000000000000000,0
2019-7,io1lvp6cn8sq7fmhcgh6cslga406zrc30dwqv6vk0,29,7,1,2274663000000000000,407049000000000000,0
2019-7,io1k69y0gsvrsec9dslp80wg287xj0lu0yw23wtde,20,9,1,281100000000000000000,270000000000000000000,10000000000000000
2019-7,io1jfvca9kkp5n8p0h5fj7alkx0yvp32dr6y23zzp,130,5,5,92752581002000000000000,15000000000000000000000,0
2019-7,io1y3lhu7mmzgl3ullyjrz5f69rkkew4wqu58m9n0,67,5,0,56212753000000000000,25000000000000000000,0
2019-7,io15ed8a4lyqgglm7z9wdq40kjksc0j5z0erw5v3x,81,5,3,40517287571000000000000,10000000000000000000000,0
2019-7,io14wa62gw6fd0cx663ptt4lr37sy8wfwkrpahtvr,98,49,1,299540000000000000000,263450000000000000000,10000000000000000
2019-7,io1dvfjg5xxnzpydnmq2q0n0n0ham2arytkkvrr2h,58,5,2,13998337846000000000000,11000000000000000000000,0
2019-7,io1wufr9v6g9zq9244lhw4a3k77l7kj60jj32twh0,114,14,0,398620454000000000000,100000000000000000000,0
2019-7,io1ms79v8ctuscja6zgel28dfch909yessw663dp9,120,12,0,572470378000000000000,500000000000000000000,0
2019-7,io1j9q5r9frrvxlzr4nspag726j6mwla59rkcvdwf,343,5,0,26839706000000000000,10000000000000000000,0
2019-7,io1rl4apext2dgcvlrxdzkjh75c0jhrrwu4xqsgld,192,96,1,96960000000000000000,1000000000000000000,10000000000000000
2019-7,io10qth56tn9w53x7vdkkuvl88h65qjsl7vfcjssn,128,24,1,79041646000000000000,10000000000000000000,0
2019-8,io1t2dtfygc0ud8x9ckht92aklujr2teqcp9axcwy,18,10,2,11090000000000000000,2000000000000000000,10000000000000000
2019-8,io1m43cvg76nmxvv7s8muyckfzxe7emdaxp3xu84j,124,6,2,5520889944000000000000,4000000000000000000000,0
2019-8,io1gvxd64clqefhm6ufm038x58vpmj0ug2s0daak7,48,13,0,1612936000000000000,100000000000000000,0
2019-8,io165x6x8qpxuukhs7u3wmsxqk8ztuem9p90vye90,222,8,2,29876118000000000000,10000000000000000000,0
2019-8,io10xuksnpy78cls7r6ex92a0phq4kty3vs88fh9t,14,5,1,5113140000000000000,1000000000000000000,0
2019-8,io14awny2v5vhzk8hepjqrpg5tg3tcl6rgeajqsqy,12,7,2,11990000000000001000,6930000000000001000,10000000000000000
2019-8,io1av8h4g2jujrducpg0c48xy07gdk4n4l8trc3xy,222,6,3,1140912220000000000000,1125000000000000000000,0
2019-8,io1e3w657jy6vgym0u68czl49p776ldgq8g4e3q2x,14,5,1,107756846635000000000000,74566600000000000000000,0
2019-8,io1tpq08sg5f69jwj4rtj2cev28d8zmm8reh6m65v,12,7,1,6060000000000000000,1000000000000000000,10000000000000000
2019-8,io1yrn2e4aenc02xgclv9749qpdda63ppx8gsduz9,84,5,1,77420306000000000000,10000000000000000000,0
2019-8,io1eaeqwg2qd2y5e3647daah7qlmkvxupwzw2jq4w,36,5,1,13950420000000000000,1000000000000000000,0
2019-8,io1w379tmv8ah96lg5kpggzxysqcvefppdmmkuqww,10,6,2,8050000000000000000,4000000000000000000,10000000000000000
2019-8,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,210,67,0,3376485300780000000000000,919918301505000000000000,10000000000000000
2019-8,io1lvemm43lz6np0hzcqlpk0kpxxww623z5hs4mwu,665,48,3,518339133286104870449592,5918324625308267689935,0
2019-8,io1t0he6feyx0yyc8ctct3p5p5mqkqm3j4dh8lu3v,10,6,1,10050000000000000000,2000000000000000000,10000000000000000
2019-8,io1s0w7ps73277kuzrsy3pme3ygrshv7qdnkl85nm,12,7,1,6060000000000000000,1000000000000000000,10000000000000000
2019-8,io1luqr7rt4r5a8z9e0wglmh3xjvtw50t0swdrth3,84,23,0,161780652560000000000000,12000000000000000000000,0
2019-8,io1ljslg3gdqhjra0cdsa6nxfszkcelchkyw8fje3,10,6,1,5050000000000000000,1000000000000000000,10000000000000000
2019-8,io185xtrz4yn9yct9jgsm9punjj3qyr8cq4wcrl3q,54,28,1,1583270000000000000000,1323000000000000000000,10000000000000000
2019-8,io1wrn4txucmtc4wuk82e64umvcvet4vflmysctzd,28,12,5,2575140000000000000000,1560000000000000000000,10000000000000000
2019-8,io19s6f55ux5kuamsyfm7gn93y55tt5yn3c8tm6kj,987,8,2,13127740671000000000000,1000000000000000000000,0
2019-8,io1mwekae7qqwlr23220k5n9z3fmjxz72tuchra3m,175,11,4,2116773023000000000000,1020000000000000000000,0
2019-8,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,12,6,0,4211005582677000000000000,1200000000000000000000000,10000000000000000
2019-8,io1yw0hakhqsxd20q5806x786ul0wdf2ck7d3n7p4,12,6,2,6060000000000000000,1000000000000000000,10000000000000000
